21
ICAM2	0	14	14	1	1	0	0
KIT	262144	262158	14	1	1	1	1
EPCR	524288	524302	262158	1	1	2	2
NPR1	786432	786446	524302	1	1	3	3
KDR	1048576	1048590	786446	1	1	4	4
ITGA2B	1310720	1310734	1048590	1	1	5	5
PTPRC	1572864	1572878	1310734	1	1	6	6
CD55orDAF	1835008	1835022	1572878	1	1	7	7
CD63	2097152	2097166	1835022	1	1	8	8
ESAM	2359296	2359310	2097166	1	1	9	9
FCER1A	2621440	2621454	2359310	1	1	10	10
FOLR2	2883584	2883598	2621454	1	1	11	11
LY6AorLY6E	3145728	3145742	2883598	1	1	12	12
MADCAM1	3407872	3407886	3145742	1	1	13	13
KLRB1	3670016	3670030	3407886	1	1	14	14
NOTCH1	3932160	3932174	3670030	1	1	15	15
P2RY12	4194304	4194318	3932174	1	1	16	16
SIGLEC	4456448	4718606	4194318	1	2	17	18
ITGA4	4980736	4980750	4718606	1	1	19	19
EPCAM	5242880	5242894	4980750	1	1	20	20
PanendothelialCellAntigen	5505024	5505038	5242894	1	1	21	21
